"Version","Class","Domain","Data Collection Scenario/Implementation Option","Variable Order","CDASHIG Variable","CDASHIG Variable Label","DRAFT CDASHIG Definition","Question Text","Prompt","Type","CDASHIG Core","Case Report Form Completion Instructions","SDTMIG Target","Mapping Instructions","CDISC CT Codelist Code(s), Subset Codes(s)","Codelist Submission Value","Implementation Notes"
"CDASHIG v2.3","Interventions","CM",,"10","CMOCCUR","CM Occurrence","An indication whether the prespecified medication/treatment/therapy (CMTRT) or the group of medications/treatments/therapies was administered when information about the occurrence of a specific intervention was solicited.","Did the subject take [prespecified (concomitant) medication/treatment/therapy/dose]?; Has the subject taken [prespecified (concomitant) medication/treatment/therapy/dose]?","[Specific (Concomitant) [Medication/Treatment/Therapy]","Char","O","Indicate if [specific medication/treatment] was taken by checking Yes or No.","CMOCCUR","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. If the question was not asked or answered, populate the SDTMIG variable CMSTAT with ""NOT DONE"".","C66742","NY","CMOCCUR is used to report the occurrence of a prespecified medication/treatment. CMOCCUR is not used for spontaneously free-text reported concomitant medication/treatments. The site should be able to indicate that the question was not asked or answered."
"CDASHIG v2.3","Interventions","CM",,"11","CMINGRD","Concomitant Meds Active Ingredients","Medication ingredients.","What were the active ingredients?","Active Ingredients","Char","O","Prior to a subject's clinical visit, remind all subjects to bring all medications bottles, packs etc. they are taking with them to their clinical visit. Record all active ingredient(s) off the medication label and separate each ingredient with a comma for the name of drug medication or treatment taken. For example, the medication Dolmen, if manufactured in Spain, the active ingredients should be collected as noted below: Active Ingredient: Acetylsalicylic Acid, Ascorbic acid, codeine phosphate.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","","","This may be collected in addition to the medication/treatment name. Collecting this provides more detailed information when coding to a medication dictionary like WHODrug Dictionary Enhanced Format C, which codes to the ingredient level for many trade-name medications. For example, depending on the country where it is manufactured, the active ingredients in the medication dolmen may be different: In Spain, acetylsalicylic acid, ascorbic acid, codeine phosphate; in Italy and Czech Republic, tenoxicam; in Estonia and Latvia, dexketoprofen trometamol."
"CDASHIG v2.3","Interventions","CM",,"12","CMINDC","CM Indication","The condition, disease, symptom, or disorder that the concomitant (non-study) medication/treatment/therapy was used to address or investigate (e.g., why the medication/treatment/therapy was taken or administered).","For what indication was the (concomitant) [medication/treatment/therapy] taken?","Indication","Char","R/C","Record the reason the medication was taken based on clinical investigator's evaluation. If taken to treat a condition, and a diagnosis was made, the indication should be the diagnosis. If taken to treat a condition, and no diagnosis was made, the indication should be the signs and symptoms. If taken as prophylaxis, report as ""Prophylaxis for"" and include a description of the condition(s).","CMINDC","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This is not the pharmacological/therapeutic classification of an agent (e.g., antibiotic, analgesic), but rather the reason for its administration to the subject. This additional information is collected on the CRF when sponsors want to capture the reason(s) a subject took a medication/treatment. This information could be used as deemed appropriate for coding; analysis (e.g., in the classification of medications); reconciling medications/treatments taken by a subject with provided medical history; and/or AEs/SAEs, as part of the data clean-up and monitoring process."
"CDASHIG v2.3","Interventions","CM",,"13","CMAENO","Related Adverse Event ID","Identifier for the adverse event that is the indication for this medication/treatment/therapy.","What was the identifier for the adverse event(s) for which the (concomitant) [medication/treatment/therapy] was taken?","Adverse Event Identifier","Char","O","Record the identifier of the Adverse Event for which this (concomitant) [medication/treatment/therapy] was taken.","","This does not map directly to an SDTMIG variable. For SDTM submission datasets, may be used to create RELREC to link this record with a record in the AE domain.","","","The intent is to establish a link between the medication/treatment and the AE that was reported. CMAENO can be used to identify a relationship between records in CM dataset and records in the AE dataset. See the SDTMIG for information on RELREC."
"CDASHIG v2.3","Interventions","CM",,"14","CMMHNO","Related Medical History Event ID","Identifier for the medical history condition that is the indication for this medication/treatment/therapy.","What was the identifier for the medical history event(s) for which the (concomitant) [medication/treatment/therapy] was taken?","Medical History Event Identifier","Char","O","Record the identifier of the medical history event for which this (concomitant) [medication/treatment/therapy] was taken.","","This does not map directly to an SDTMIG variable. For SDTM submission datasets, may be used to create RELREC to link this record with a record in the MH domain.","","","The intent is to establish a link between the medical history condition and the medication/treatment taken for the condition. CMMHNO can be used to identify a relationship between records in the CM dataset and records in the MH dataset. See the SDTMIG for information on RELREC."
"CDASHIG v2.3","Interventions","CM",,"15","CMDOSE","CM Dose per Administration","The dose of medication/treatment (e.g., --TRT ) given at one time, represented as a numeric value.","What was the individual dose (of the concomitant [medication/treatment/therapy] per administration)?","[Dose/Amount] (per administration)","Num","O","Record the dose of (concomitant) [medication/treatment] taken per administration (e.g., 200).","CMDOSE","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Used when the dose/amount taken/administered/consumed has only numeric entries. If non-numeric entries are possible, use the CDASH field CMDSTXT."
"CDASHIG v2.3","Interventions","CM",,"16","CMDSTXT","Concomitant Meds Dose Description","The dose of medication/treatment taken per administration.","What was the individual dose of the (concomitant) [medication/treatment/therapy]?","Dose","Char","O","Record the dose of (concomitant) [medication/treatment] taken per administration (e.g., 200).","CMDOSTXT; CMDOSE","This does not map directly to an SDTMIG variable. Numeric values map to CMDOSE in SDTM. Non-numeric values (e.g., ""200-400"") map to CMDOSTXT in SDTM.","","","Defining this data collection field as a dose text field allows for flexibility in capturing dose entries as numbers, text, or ranges. The data collected in this text-format field should be separated or mapped to either SDTMIG CMDOSE if numeric or CMDOSTXT if text."
"CDASHIG v2.3","Interventions","CM",,"17","CMDOSTOT","CM Total Daily Dose","The total amount of CMTRT taken over a day, using the units in CMDOSU.","What was the total daily dose of the (concomitant) [medication/treatment/therapy]?","Total Daily Dose","Num","O","Record the total dose of (concomitant) [medication/treatment/therapy] taken daily.","CMDOSTOT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","For use when only total daily dose is collected on the CRF. For general medications/treatments, it is not recommended to use Total Daily Dose. Instead, this can be calculated from other fields (e.g., Units, Dose, Frequency)."
"CDASHIG v2.3","Interventions","CM",,"18","CMDOSU","CM Dose Units","The unit associated with the concomitant medication/treatment/therapy taken (e.g., mg in ""2 mg 3 times per day"").","What is the unit (for the dose of concomitant [medication/treatment/therapy])?","(Dose) Unit","Char","R/C","Record the dose unit of the dose of concomitant [medication/treatment/therapy] taken (e.g., mg.).","CMDOSU","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620; C78417","UNIT; CMDOSU","When sponsors collect data for amount of dose taken (i.e., Dose, Total Daily Dose), Unit must be collected as well (if applicable)."
"CDASHIG v2.3","Interventions","CM",,"19","CMDOSFRM","CM Dose Form","The pharmaceutical dosage form in which the CMTRT is physically presented.","What was the dose form of the (concomitant) [medication/treatment/therapy]?","Dose Form","Char","O","Record the pharmaceutical dosage form (e.g., TABLET CAPSULE, SYRUP) of delivery for the concomitant [medication/treatment/therapy] taken.","CMDOSFRM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66726; C78418","FRM; CMDOSFRM","Some drugs have multiple forms; this field may be needed to code the drug to an ATC level. However, in general, this level of detail should not be necessary except for medications/treatments of interest."
